smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C1C(=O)O[C@H]2[C@H]1CC[C@@](C)(O)[C@]13O[C@H]1[C@@H](O)[C@](C)(Cl)[C@H]23,0.7547999999999999,314.765,79.29,2,5,0,0.2985199847467431,5.696468187937845
C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,8.414900000000006,440.7560000000003,20.23,1,1,5,0.4253011300704758,5.446806026119182
C[C@@H](C(=O)O)[C@H]1CC[C@]2(C)CC[C@@]3(C)C[C@@H](O)[C@@]4(C)C[C@H]4[C@@H]3[C@@H]12,3.9467000000000034,320.473,57.53,2,2,2,0.8098150961471525,4.92599014518227
CC1(C)[C@@H]2[C@H]1CC[C@@]1(C)O[C@@H]21,2.2099,152.237,12.53,0,1,0,0.4847388598069412,4.173109573070178
CC1CC2C(C3OC13)C2(C)C,2.0658,152.23699999999997,12.53,0,1,0,0.48398460023563594,4.375403606059198
CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,1.1030999999999997,360.40600000000006,84.12,1,6,1,0.5569255118392922,6.155729730455902
CC1(C2CCC3(C)OC3C2)CO1,1.7329,168.23599999999996,25.06,0,2,1,0.5569965260176455,4.179540588390577
C=CC1=C(C)C(=O)C=C2[C@]13O[C@H]3C[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,3.6911000000000023,342.4350000000001,55.900000000000006,0,4,5,0.434282885777987,5.2323058860044265
CC1=C2[C@H]3[C@@H](CC[C@]2(C)CCC1)C3(C)C,4.5591000000000035,204.35699999999994,0.0,0,0,0,0.5074101063945532,4.020236446383722
CC1CC(O)C2C(C1)C2(C)C,2.0494,154.253,20.23,1,1,0,0.5658945909288823,3.8903481937598334
CC(=O)CC[C@@H]1[C@H]2CC(=C(C)C)C(=O)C[C@@]12C,3.3072000000000017,234.33899999999994,34.14,0,2,3,0.7020134913610134,4.274321954448505
CC(=O)OC1C(C)C(=O)C23CC(C)C(O)C2(C=C(C)C(O)C(O)C2C1C2(C)C)O3,0.9856999999999996,408.4910000000001,116.59000000000002,3,7,1,0.33643806428126966,5.796292277153592
C[C@@]12CC[C@H]1[C@@H]1CC[C@H]3CCCC[C@]3(C)[C@H]1CC2,5.419200000000005,246.4379999999999,0.0,0,0,0,0.5351913939900237,3.7590993985560335
